,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Strange Days,The Taliban Shuffle: Strange Days in Afghanistan and Pakistan,Kim Barker,Doubleday,4088,3.44,"('3', '22', '2011')",2011
1,Strange Days,Strange Days: My Life With and Without Jim Morrison,Patricia Kennealy,Plume,1044,3.76,"('9', '1', '1993')",1993
2,Strange Days,Strange Days,Constantine J.  Singer,G.P. Putnam's Sons Books for Young Readers,29,3.62,"('12', '4', '2018')",2018
3,Strange Days,"Strange Days (Bill of the Dead, #1)",Rick Gualtieri,,459,4.38,"(None, None, None)",
4,Strange Days,"Waiting for the Sun: Strange Days, Weird Scenes, and The Sound Of Los Angeles",Barney Hoskyns,St. Martin's Press,181,4.00,"('8', '1', '1996')",1996
5,Strange Days,Strange Days Indeed: The 1970s: The Golden Days of Paranoia,Francis Wheen,PublicAffairs,270,3.84,"('3', '2', '2010')",2010
6,Strange Days,Strange Days: Life in the Spirit in a Time of Upheaval,Mark Sayers,Moody Publishers,196,4.23,"('5', '2', '2017')",2017
7,Strange Days,The Twelve Strange Days of Christmas (An Essex Witch Museum Mystery),Syd Moore,,125,3.46,"('10', '3', '2019')",2019
8,Strange Days,Strange Days (movie tie-in),James Francis Cameron,Plume,98,3.76,"('10', '1', '1995')",1995
9,Strange Days,"Emily the Strange: The Lost Days (Emily the Strange Novels, #1)",Rob Reger,HarperCollins,127,3.90,"('2', '23', '2010')",2010
10,Strange Days,Strange Days: The Adventures of a Grumpy Rock 'n' Roll Journalist in Los Angeles,Dean  Goodman,Outpost Books,59,4.16,"('4', '19', '2014')",2014
11,Strange Days,Doctor Strange: Last Days of Magic #1,Jason Aaron,,98,4.09,"(None, None, '2016')",2016
12,Strange Days,Treachery: Thirty-One Strange Days With Casey Anthony (Hopespring Chronicles Book 1),Nick van der Leek,,38,3.74,"(None, None, None)",
13,Strange Days,"Strange Days (Shadow Promised, #1)",Rebecca Royce,,35,4.18,"(None, None, None)",
14,Strange Days,Strange Days Dangerous Nights: Photos From the Speed Graphic Era,Larry Millett,Borealis Books,56,4.52,"('10', '15', '2004')",2004
15,Strange Days,Fantastic Four Epic Collection Vol. 25: Strange Days,Tom DeFalco,Marvel,35,3.22,"('6', '9', '2015')",2015
16,Strange Days,Strange Days: Fabulous Journeys with Gardner Dozois,Gardner Dozois,Nesfa Press,18,4.05,"('8', '1', '2001')",2001
17,Strange Days,Strange Days: A Short Story Collection,Andrew C. Piazza,,19,4.42,"(None, None, None)",
18,Strange Days,"Strange Days: A Collection of Prose, Verse, and Essays",Kevin Lucia,,9,4.67,"('9', '10', '2014')",2014
19,Strange Days,Strange Days (His Mate Series Book One),M L Briers,,23,4.61,"(None, None, None)",
0,Otherbound,Otherbound,Corinne Duyvis,Amulet Books,2241,3.73,"('6', '17', '2014')",2014
0,On the Edge of Gone,On the Edge of Gone,Corinne Duyvis,Amulet Books,2395,3.93,"('3', '8', '2016')",2016
0,The Art of Saving the World,The Art of Saving the World,Corinne Duyvis,Amulet Books,57,3.89,"('9', '15', '2020')",2020
1,The Art of Saving the World,"Articles on Maximum Ride, Including: Maximum Ride: The Angel Experiment, List of Maximum Ride Characters, Maximum Ride: School's Out Forever, Maximum Ride: Saving the World and Other Extreme Sports, Maximum Ride: The Final Warning",Hephaestus Books,Hephaestus Books,109,4.50,"('8', '26', '2011')",2011
2,The Art of Saving the World,The Social Entrepreneur's Guide to Saving the World: How to Unlock and Utilize Your Mind for the Benefit of the World,Arthur Linden,,2,3.00,"(None, None, None)",
3,The Art of Saving the World,Our Ever Changing World: Through the Eyes of Artists: What Are You Saving from Extinction?,Karrie Ross,"Be It Now, Inc",0,0.00,"('10', '23', '2013')",2013
0,13th Street Series,"Horror Film - Series-Specific Characters: A Nightmare on Elm Street Characters, Child's Play Characters, Dark Shadows Characters, Friday the 13th Characters, Hellraiser Characters, Jennifer's Body Characters, Silent Hill Characters",Source Wikia,"Books LLC, Wiki Series",2,4.50,"('10', '13', '2012')",2012
1,13th Street Series,"Series de Peliculas: A Nightmare on Elm Street, Amityville, Destino Final, Friday the 13th, Halloween (Peliculas), Halloweentown, Hellraiser",Books LLC,Books LLC,0,0.00,"('6', '1', '2011')",2011
2,13th Street Series,"Horror Films by Series (Film Guide): Poltergeist, Scream, Friday the 13th, Halloween, Jaws, Psycho, Saw, Alien, a Nightmare on Elm Street",Source Wikipedia,"Books LLC, Wiki Series",0,0.00,"('8', '31', '2011')",2011
0,Chupacabras,"The Chupacabra Catastrophe (A Charlie Rhodes Mystery, #2)",Amanda M. Lee,,1408,4.50,"(None, None, None)",
1,Chupacabras,"Cryptozoology A to Z: The Encyclopedia of Loch Monsters, Sasquatch, Chupacabras & Other Authentic Mysteries of Nature",Jerome Clark,Touchstone,826,4.00,"('8', '5', '1999')",1999
2,Chupacabras,Chupacabra (Marty and Grace #3),Roland Smith,Scholastic Press,999,4.25,"('9', '24', '2013')",2013
3,Chupacabras,Chupacabra's Song (Magic ex Libris),Jim C. Hines,,256,3.98,"(None, None, None)",
4,Chupacabras,El Chupacabras,Adam Rubin,Dial Books,431,3.87,"('3', '27', '2018')",2018
5,Chupacabras,The Chupacabra Ate the Candelabra,Marc Tyler Nobleman,Nancy Paulsen Books,424,3.59,"('3', '7', '2017')",2017
6,Chupacabras,Revenge of the Chupacabra,Kyle Abernathie,Dream Loud Books,11,4.57,"('3', '19', '2016')",2016
7,Chupacabras,"The Chupacabra: A Borderline Crazy Tale of Coyotes, Cash & Cartels",Stephen Randel,Knuckleball Press,134,3.39,"('8', '19', '2012')",2012
8,Chupacabras,The Chupacabras of the Rio Grande,Adam Gidwitz,Dutton Books for Young Readers,94,4.14,"('4', '16', '2019')",2019
9,Chupacabras,Revolt of the Chupacabras,Raegan Butcher,Necro Publications,9,4.56,"('9', '7', '2016')",2016
10,Chupacabras,"Tracking the Chupacabra: The Vampire Beast in Fact, Fiction, and Folklore",Benjamin Radford,University of New Mexico Press,77,3.79,"('3', '15', '2011')",2011
11,Chupacabras,Fury of the Chupacabras,Raegan Butcher,Necro Publications,10,4.32,"('4', '2', '2016')",2016
12,Chupacabras,Chasing the Chupacabra (Critter Catchers #2),Hank  Edwards,Wilde City Press,54,3.88,"('3', '30', '2016')",2016
13,Chupacabras,Night of the Chupacabra (Chupacabra Series #1),Michael Hebler,"Night After Night Publications, LLC",44,3.75,"('10', '17', '2012')",2012
14,Chupacabras,Chupacabra Outlaw: Episode 1,Sean Platt,Realm & Sands,41,3.60,"('6', '10', '2013')",2013
15,Chupacabras,Follow The Chupacabra,Steve Statham,Statham Communications LLC,1,4.00,"('8', '21', '2013')",2013
16,Chupacabras,"Don't Eat Me, Chupacabra! / ¡No Me Comas, Chupacabra!: A Delicious Story with Digestible Spanish Vocabulary",Kyle Sullivan,Hazy Dell Press,75,4.38,"('9', '11', '2018')",2018
17,Chupacabras,Chupacabra: A Novella,Dallas Tanner,Trilogus Media Group,62,2.84,"('11', '20', '2009')",2009
18,Chupacabras,Come the Chupacabra: An Erotic Horror Story,Ffion Rhys,,60,2.94,"(None, None, None)",
19,Chupacabras,Chupacabra Road Trip: In Search of the Elusive Beast,Nick Redfern,,34,3.90,"(None, None, None)",
0,The Belles,"The Belles (The Belles, #1)",Dhonielle Clayton,Disney-Hyperion,15783,3.84,"('2', '6', '2018')",2018
1,The Belles,"The Hunter (Boston Belles, #1)",L.J. Shen,L.J. Shen,9544,4.19,"('5', '11', '2020')",2020
2,The Belles,"Hell's Princess: The Mystery of Belle Gunness, Butcher of Men",Harold Schechter,,7391,3.44,"('4', '1', '2018')",2018
3,The Belles,"The Villain (Boston Belles, #2)",L.J. Shen,,178,4.34,"('12', None, '2020')",2020
4,The Belles,"The Everlasting Rose (The Belles, #2)",Dhonielle Clayton,Freeform,4129,3.57,"('3', '5', '2019')",2019
5,The Belles,"To Have and to Hold (The Wedding Belles, #1)",Lauren Layne,Pocket Books,4858,3.80,"('7', '26', '2016')",2016
6,The Belles,"The Monster (Boston Belles, #3)",L.J. Shen,,88,4.49,"(None, None, None)",
7,The Belles,The Beau & the Belle,R.S. Grey,,4618,3.91,"('2', '1', '2018')",2018
8,The Belles,"The Rake (Boston Belles, #4)",L.J. Shen,,56,4.55,"(None, None, None)",
9,The Belles,"To Love and to Cherish (The Wedding Belles, #3)",Lauren Layne,,3170,3.91,"(None, None, None)",
10,The Belles,"For Better or Worse (The Wedding Belles, #2)",Lauren Layne,Pocket Books,3015,4.12,"('8', '30', '2016')",2016
11,The Belles,"La Belle Sauvage (The Book of Dust, #1)",Philip Pullman,Alfred A. Knopf,55632,4.14,"('10', '19', '2017')",2017
12,The Belles,The Bridge to Belle Island,Julie Klassen,Bethany House Publishers,1159,3.97,"('12', '3', '2019')",2019
13,The Belles,The Marriage Lie,Kimberly Belle,Mira,27254,3.92,"('12', '27', '2016')",2016
14,The Belles,"From This Day Forward (The Wedding Belles, #0.5)",Lauren Layne,Pocket Star,1753,3.63,"('6', '6', '2016')",2016
15,The Belles,"The Promise (Belle, #2)",Lesley Pearse,Michael Joseph,2734,4.34,"('1', '19', '2012')",2012
16,The Belles,Beauty and the Beast: Belle's Library: A Collection of Literary Quotes and Inspirational Musings,Linda Woolverton,Disney Press,1287,4.07,"('1', '31', '2017')",2017
17,The Belles,Belle: The Slave Daughter and the Lord Chief Justice,Paula Byrne,Harper Perennial,937,3.43,"('4', '29', '2014')",2014
18,The Belles,The Crumpled Letter (Belle Epoque Mystery #1),Alice Quinn,,199,3.52,"(None, None, None)",
19,The Belles,"The Belles of Desire, Mississippi (The Ghosts of Summerleigh Book 1)",M.L. Bullock,,350,4.31,"(None, None, None)",
0,Story of Owen,"Dragon Slayer of Trondheim (The Story of Owen, #1)",E.K. Johnston,Carolrhoda Books,2640,3.74,"('3', '1', '2014')",2014
1,Story of Owen,Triumph: The Untold Story of Jesse Owens and Hitler's Olympics,Jeremy Schaap,Houghton Mifflin Harcourt,944,3.83,"('2', '1', '2007')",2007
2,Story of Owen,"Prairie Fire (The Story of Owen, #2)",E.K. Johnston,Carolrhoda Books,448,4.04,"('3', '1', '2015')",2015
3,Story of Owen,The Story of Owen: One Man's Submissive Journey,Claire Thompson,Romance Unbound Publishing,11,3.40,"('8', '1', '2012')",2012
4,Story of Owen,Best Friends: The True Story of Owen and Mzee (All Aboard Science Reader: Station Stop 1),Roberta Edwards,Penguin Young Readers,36,3.82,"('5', '10', '2007')",2007
5,Story of Owen,Amazing True Story of Owen and Mzee,Isabella Hatkoff,"Scholastic, Inc.",46,4.28,"('7', '3', '2006')",2006
6,Story of Owen,A Deceptively Perfect Home : The True Story of Gaile Owens,Larry Maravich,,13,3.00,"(None, None, None)",
7,Story of Owen,The Amazing Story of Jesse Owens for Children!: The Lighting-Fast Runner Who Destroyed Hitler's Dream & Won a Victory for Freedom and Democracy,Mike Smith,,8,4.00,"(None, None, None)",
8,Story of Owen,"A Killer is What They Needed: The True, Untold Story of Commodore Perry Owens",David Grassé,Graphic Publishers,4,4.83,"('3', None, '2013')",2013
9,Story of Owen,The Collected Stories of Philip K. Dick 1: The Short Happy Life of the Brown Oxford,Philip K. Dick,Citadel,4718,4.23,"('5', '1', '2002')",2002
10,Story of Owen,Triumph: The Untold Story of Jesse Owens and Hitler’s Olympics (Large Print Edition),Jeremy Schapp,,6,4.17,"(None, None, None)",
11,Story of Owen,"Double Agent Snow: The True Story of Arthur Owens, Hitler's Chief Spy in England",James Hayward,Simon & Schuster,1,3.03,"(None, None, '2013')",2013
12,Story of Owen,Girl in Black and White: The Story of Mary Mildred Williams and the Abolition Movement,Jessie Morgan-Owens,W. W. Norton & Company,93,3.75,"('3', '12', '2019')",2019
13,Story of Owen,"Best Friends: The True Story of Owen and Mzee (All Aboard Science Reader, Level 1)",Roberta Edwards,,2,4.00,"(None, None, None)",
