,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Translation Quality Assessment,Translation Criticism-The Potentials and Limitations: Categories and Criteria for Translation Quality Assessment,Katharina Reiss,American Bible Society,38,3.64,"('12', '3', '2005')",2005
1,Translation Quality Assessment,Translation Quality Assessment: Past and Present,Juliane House,Routledge,10,3.80,"('11', '6', '2014')",2014
2,Translation Quality Assessment,Translation Criticism- Potentials and Limitations: Categories and Criteria for Translation Quality Assessment,Katharina Reiss,Routledge,1,3.00,"('4', '23', '2014')",2014
3,Translation Quality Assessment,Translation Quality Assessment: A Model Revisited (Tübinger Beiträge Zur Linguistik),Juliane House,,1,5.00,"(None, None, None)",
4,Translation Quality Assessment,A Model For Translation Quality Assessment,Juliane House,,1,3.00,"(None, None, None)",
5,Translation Quality Assessment,TRANSLATION QUALITY ASSESSMENT: An Argumentation-Centred Approach,Malcolm Williams,University of Ottawa Press,1,4.00,"('7', '31', '2004')",2004
6,Translation Quality Assessment,Evaluating the Evaluator: A Novel Perspective on Translation Quality Assessment,Hansjorg Bittner,,0,0.00,"(None, None, None)",
7,Translation Quality Assessment,Translation Quality Assessment: From Principles to Practice,Joss Moorkens,Springer,1,5.00,"('9', '12', '2018')",2018
8,Translation Quality Assessment,"Translation Quality Assessment: An Investigation of Semantic, Pragmatic and Syntactic Errors in the Persian Translation of Coelho's ""The Alchemist""",Elham Hajibabaei,Createspace Independent Publishing Platform,0,0.00,"('10', '27', '2015')",2015
9,Translation Quality Assessment,Analysis of a text regarding the model for Translation Quality Assessment of Juliane House,Carmen Trappenberg,,0,0.00,"(None, None, None)",
10,Translation Quality Assessment,Trainspotting - Analysis of the german translation of the chapter  Strolling through the meadows  with the model of Juliane House (Translation Quality Assessment),Maritta Schwartz,,0,0.00,"(None, None, None)",
11,Translation Quality Assessment,Evaluating the Evaluator: A Novel Perspective on Translation Quality Assessment,Hansjorg Bittner,,0,0.00,"(None, None, None)",
12,Translation Quality Assessment,Trainspotting: Analysis of the German Translation of the Chapter 'Strolling Through the Meadows' with the Model of Juliane House (Translation Quality Assessment),Maritta Schwartz,Grin Verlag,0,0.00,"('1', '1', '2002')",2002
13,Translation Quality Assessment,Translation Quality Assessment (Tqa) of Subtitles: Criteria for the Evaluation of Persian B029s of English Movies Focusing on Semiotic Model of Tqa for Poetry Translation and Appraisal Theory,Yasamin Khosravani,,0,0.00,"(None, None, None)",
14,Translation Quality Assessment,"Translation Quality Assessment Policies from Galicia- Traduccion, Calidad y Politicas Desde Galicia",Ana Luna Alonso,"Peter Lang Gmbh, Internationaler Verlag Der Wissenschaften",0,0.00,"('4', '27', '2011')",2011
15,Translation Quality Assessment,Translation Quality Assessment,Karlova-Bourbonus Natali,AV Akademikerverlag,0,0.00,"('2', '6', '2014')",2014
16,Translation Quality Assessment,Translation Quality Assessment: From Principles to Practice (Machine Translation: Technologies and Applications Book 1),Joss Moorkens,,0,0.00,"(None, None, None)",
17,Translation Quality Assessment,Translation Quality Assessment (Tqa) of Subtitles: Criteria for the Evaluation of Persian B029s of English Movies Focusing on Semiotic Model of Tqa for Poetry Translation and Appraisal Theory,Yasamin Khosravani,,0,0.00,"(None, None, None)",
18,Translation Quality Assessment,Translation Quality Assessment (Tqa) of Subtitles: Criteria for the Evaluation of Persian B029s of English Movies Focusing on Semiotic Model of Tqa for Poetry Translation and Appraisal Theory,Yasamin Khosravani,,0,0.00,"(None, None, None)",
19,Translation Quality Assessment,Trainspotting - Analysis of the German Translation of the Chapter Strolling Through the Meadows with the Model of Juliane House (Translation Quality Assessment),Maritta Schwartz,Grin Verlag,0,0.00,"('7', '29', '2010')",2010
0,The Wild Inside,The Wild Inside (Glacier Mystery #1),Christine Carbo,Atria Books,2287,3.62,"('6', '16', '2015')",2015
1,The Wild Inside,The Operators: The Wild and Terrifying Inside Story of America's War in Afghanistan,Michael Hastings,"Little, Brown & Company",1702,3.93,"('12', '6', '2011')",2011
2,The Wild Inside,The Wild Inside,Jamey Bradbury,William Morrow,573,3.28,"('3', '20', '2018')",2018
3,The Wild Inside,"The Wild, Wild Inside: A View from Mommy's Tummy!",Kate Feiffer,Simon  Schuster/Paula Wiseman Books,32,3.00,"('3', '23', '2010')",2010
4,The Wild Inside,The Frackers: The Outrageous Inside Story of the New Billionaire Wildcatters,Gregory Zuckerman,Portfolio,1490,3.99,"('11', '5', '2013')",2013
5,The Wild Inside,The Way the Wild Gets Inside: Field Notes from Alaska,Shannon Huffman Polson,,3,5.00,"(None, None, None)",
6,The Wild Inside,Poached: Inside the Dark World of Wildlife Trafficking,Rachel Love Nuwer,Da Capo Press,247,4.21,"('9', '25', '2018')",2018
7,The Wild Inside,The Wild Inside: Sierra Club's Guide to the Great Indoors,Linda Allison,,3,4.33,"(None, None, None)",
8,The Wild Inside,"Prosecutors Gone Wild: The Inside Story of the Trial of Chuck Panici, John Gliottoni, and Louise Marshall",Michael Volpe,,3,4.00,"('10', '4', '2012')",2012
9,The Wild Inside,"The Wilderness: Deep Inside the Republican Party's Combative, Contentious, Chaotic Quest to Take Back the White House",McKay Coppins,"Little, Brown and Company",279,3.89,"('12', '1', '2015')",2015
10,The Wild Inside,The Wild Duck Chase: Inside the Strange and Wonderful World of the Federal Duck Stamp Contest,Martin J. Smith,Bloomsbury USA,3,3.84,"('9', '24', '2013')",2013
11,The Wild Inside,"Finding the Wild Inside: Exploring Our Inner Landscape Through the Arts, Dreams and Intuition",Marilyn Kay Hagar,,3,4.00,"(None, None, None)",
12,The Wild Inside,Wild Ideas: Creativity from the Inside Out,Cathy Wild,Standing Place Press,24,3.90,"('1', '17', '2017')",2017
13,The Wild Inside,Who The F*ck Am I To Be A Coach?!: A Warrior's Guide to Building a Wildly Successful Coaching Business From the Inside Out,Megan Jo Wilson,,183,4.20,"(None, None, None)",
14,The Wild Inside,"The Wolf Inside (Little Wild Animal Universe, #2)",DiscontentedWinter,AO3,187,4.34,"('9', '11', '2015')",2015
15,The Wild Inside,When Wrestling Was Rasslin': The Wild and Exciting Inside Story of the Legendary Houston Wrestling Promotion,Peter Birkholz,Createspace Independent Publishing Platform,1,4.00,"('11', '7', '2012')",2012
16,The Wild Inside,"Groupon's Biggest Deal Ever: The Inside Story of How One Insane Gamble, Tons of Unbelievable Hype, and Millions of Wild Deals Made Billions for One Ballsy Joker",Frank Sennett,,98,3.10,"(None, None, None)",
17,The Wild Inside,"Summer of Love: The Inside Story of LSD, Rock & Roll, Free Love and High Times in the Wild",Joel Selvin,Dutton Books,54,3.76,"('8', '1', '1994')",1994
18,The Wild Inside,Quicklet on Michael Hastings' The Operators: The Wild and Terrifying Inside Story of America's War in Afghanistan,William Kryjak,,0,0.00,"(None, None, None)",
19,The Wild Inside,"Madvertising: 1975-1985, the inside story of advertising wildest decade",Martyn Forrester,Apostrophe Books,19,3.68,"(None, None, '2012')",2012
0,People Who Knew Me,People Who Knew Me,Kim Hooper,St. Martin's Press,924,3.99,"('5', '24', '2016')",2016
1,People Who Knew Me,Famous People Who Knew Me,Larry Lowenstein,Green Dragon Publishing Group,0,0.00,"('12', '1', '2006')",2006
2,People Who Knew Me,"The People's Princess: Cherished Memories of Diana, Princess of Wales, from Those Who Knew Her Best",Larry King,Crown Publishing Group (NY),106,3.33,"('7', '17', '2007')",2007
3,People Who Knew Me,Live Wire: Bon Scott: A Memoir by Three People Who Knew Him Best,Mary Renshaw,Allen  Unwin,27,3.79,"('5', '1', '2016')",2016
4,People Who Knew Me,"The Beatles: I was there: More than 400 first-hand accounts from people who knew, met and saw them",Richard Houghton,,5,3.82,"(None, None, None)",
5,People Who Knew Me,"I Remember Dale Earnhardt: Personal Memories of and Testimonials to Stock Car Racing's Most Beloved Driver, as Told by the People Who Knew Him Best",Tom Gillispie,Cumberland House Publishing,17,4.18,"('9', '1', '2001')",2001
6,People Who Knew Me,"I Remember Walter Payton: Personal Memories of Football's Sweetest"" Superstar by the People Who Knew Him Best""",Mike Towle,Cumberland House Publishing,15,3.93,"('10', '20', '2000')",2000
7,People Who Knew Me,I Remember Arthur Ashe: Memories of a True Tennis Pioneer and Champion of Social Causes by the People Who Knew Him,Mike Towle,Cumberland House Publishing,5,4.20,"('2', '20', '2001')",2001
8,People Who Knew Me,"I Remember Jim Valvano: Personal Memories of and Anecdotes to Basketball's Most Exuberant Final Four Coach, as Told by the People and Players Who Knew Him",Mike Towle,Cumberland House Publishing,8,4.38,"('10', '19', '2001')",2001
9,People Who Knew Me,I Remember Payne Stewart: Personal Memories of Golf's Most Dapper Champion by the People Who Knew Him Best,Michael Arkush,Cumberland House Publishing,3,4.00,"('5', '1', '2000')",2000
10,People Who Knew Me,I Remember Ted Williams: Anecdotes and Memories of Baseball's Splendid Splinter by the Players and People Who Knew Him,David Cataneo,Cumberland House Publishing,7,4.29,"('4', '5', '2002')",2002
11,People Who Knew Me,"I Remember Vince Lombardi: Personal Memories of and Testimonials to Football's First Super Bowl Championship Coach, as Told by the People and Players Who Knew Him",Mike Towle,Cumberland House Publishing,4,4.00,"('8', '19', '2001')",2001
12,People Who Knew Me,"I Remember Paul Bear"" Bryant"": Personal Memoires of College Football's Most Legendary Coach, as Told by the People Who Knew Him Best",Al Browning,Cumberland House Publishing,4,3.50,"('8', '27', '2001')",2001
13,People Who Knew Me,I Remember Joe Dimaggio: Personal Memories of the Yankee Clipper by the People Who Knew Him Best,David Cataneo,Cumberland House Publishing,6,3.17,"('3', '21', '2001')",2001
14,People Who Knew Me,"I Remember Bobby Jones: Personal Memories and Testimonials to Golf's Most Charismatic Grand Slam Champion, as Told by the People Who Knew Him",Mike Towle,Cumberland House Publishing,6,3.71,"('4', '1', '2004')",2004
15,People Who Knew Me,I Remember Bud Wilkinson: Personal Memories and Anecdotes about an Oklahoma Soonerslegend as Told by the People and Players Who Knew Him,Mike Towle,Cumberland House Publishing,4,3.75,"('8', '15', '2002')",2002
16,People Who Knew Me,Bakshi: a portrait of Geshe Ngawang Wangyal drawn from the memories of people who knew him,Lucille Ann Adinölf.,Folly Press,0,0.00,"(None, None, '2002')",2002
17,People Who Knew Me,"Memories of Con Howard: A Collection of Tributes to the Late, Great Con Howard, from the People Who Knew Him Best",Mary Caulfield,Hot Press Books,0,0.00,"('1', '1', '2012')",2012
18,People Who Knew Me,Bakshi: A Portrait of Geshe Ngawang Wangyal Drawn from the Memories of People Who Knew Him,Lucille Ann Adinolf,,0,0.00,"(None, None, None)",
