,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Suffer Love,Suffer Love,Ashley Herring Blake,HMH Books for Young Readers,2090,3.86,"('5', '3', '2016')",2016
1,Suffer Love,Asperger Syndrome Explained: How to Understand and Cope When Someone You Loves Suffers from Asperger's Syndrome,Sara Elliott Price,,72,3.79,"(None, None, None)",
2,Suffer Love,When Someone You Love Suffers from Posttraumatic Stress: What to Expect and What You Can Do,Claudia Zayfert,The Guilford Press,43,3.85,"('6', '9', '2011')",2011
3,Suffer Love,"You Were Not Born To Suffer: Love Yourself Back To Inner Peace, Health, Happiness & Fulfillment",Blake D. Bauer,,24,4.26,"(None, None, None)",
4,Suffer Love,Those Who Suffer Love,Tracey Emin,White Cube,4,4.25,"('4', None, '2009')",2009
5,Suffer Love,I Promise Not to Suffer: A Fool for Love Hikes the Pacific Crest Trail,Gail D. Storey,Mountaineers Books,755,3.67,"('4', None, '2013')",2013
6,Suffer Love,When Someone You Love Suffers from Depression or Mental Illness: Daily Encouragement,Cecil Murphey,Beacon Hill Press of Kansas City,2,4.50,"('9', '1', '2004')",2004
7,Suffer Love,"Three Philosophies of Life: Ecclesiastes—Life As Vanity, Job—Life As Suffering, Song of Songs—Life As Love",Peter Kreeft,Ignatius Press,475,4.32,"('6', '1', '1990')",1990
8,Suffer Love,Horrific Sufferings of the Mind-Reading Monster Hercules Barefoot: His Wonderful Love and His Terrible Hatred,Carl-Johan Vallgren,Harper Perennial,853,3.71,"('3', '27', '2007')",2007
9,Suffer Love,"You Were Not Born to Suffer: Overcome Fear, Insecurity and Depression and Love Yourself Back to Happiness, Confidence and Peace",Blake Bauer,Watkins Publishing,69,3.49,"('3', '21', '2017')",2017
10,Suffer Love,"Lost Daughter: A Daughter's Suffering, a Mother's Unconditional Love, an Extraordinary Story of Hope and Survival.",Nola Wunderle,,565,4.12,"(None, None, None)",
11,Suffer Love,To See Your Love Suffer,Tyann Prentice,We Heard You Like Books,1,5.00,"('9', '15', '2017')",2017
