,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Pirate Year Round Marla Lesage,Pirate Year Round,Marla Lesage,Acorn Press,3,4.67,"('5', '31', '2019')",2019
0,10 Little Ninjas Miranda Paul,10 Little Ninjas,Miranda  Paul,Knopf Books for Young Readers,387,3.95,"('8', '9', '2016')",2016
0,Trainbots Miranda Paul,Trainbots,Miranda  Paul,Little Bee Books,163,3.55,"('6', '7', '2016')",2016
0,Blobfish Throws a Party Miranda Paul,Blobfish Throws a Party,Miranda  Paul,little bee books,183,3.64,"('5', '2', '2017')",2017
0,Mia Moves Out Miranda Paul,Mia Moves Out,Miranda  Paul,Alfred A. Knopf Books for Young Readers,163,3.94,"('10', '16', '2018')",2018
0,Are We Pears Yet Miranda Paul,Are We Pears Yet?,Miranda  Paul,Roaring Brook Press,213,3.58,"('9', '19', '2017')",2017
0,The Great Pasta Escape Miranda Paul,The Great Pasta Escape,Miranda  Paul,little bee books,215,3.48,"('8', '29', '2017')",2017
0,How to Find a Fox Nilah Magruder,How to Find a Fox,Nilah Magruder,Feiwel & Friends,519,4.04,"('11', '15', '2016')",2016
0,The Three Little Pugs Nina Victor Crittenden,The Three Little Pugs,Nina Victor Crittenden,little bee books,121,3.94,"('3', '6', '2018')",2018
0,Time to Roar Olivia Cole,Time to Roar,Olivia Cole,Bloomsbury Children's Books,23,3.78,"('9', '1', '2020')",2020
1,Time to Roar Olivia Cole,Time to Roar,Olivia a Cole,Bloomsbury Publishing PLC,0,0.00,"('9', '1', '2020')",2020
2,Time to Roar Olivia Cole,Time to Roar,Olivia a Cole,Bloomsbury Publishing PLC,0,0.00,"('9', '1', '2020')",2020
0,Mother Ghost Rachel Kolar,Mother Ghost: Nursery Rhymes for Little Monsters,Rachel Kolar,Sleeping Bear Press,133,3.94,"('7', '15', '2018')",2018
0,Ruby’s Hope Sarah Dvojack,Ruby's Hope: A Story of How the Famous “Migrant Mother” Photograph Became the Face of the Great Depression,Monica Kulling,Page Street Kids,90,4.30,"('9', '10', '2019')",2019
0,This is MY Room Alexandria Neonakis,This Is MY Room!: (No Tigers Allowed),Jennifer Richard Jacobson,Simon  Schuster Books for Young Readers,166,4.16,"('5', '28', '2019')",2019
0,One Plastic Bag Miranda Paul,One Plastic Bag: Isatou Ceesay and the Recycling Women of the Gambia,Miranda  Paul,Millbrook Press,1444,4.32,"('2', '1', '2015')",2015
0,Water is Water Miranda Paul,Water Is Water: A Book About the Water Cycle,Miranda  Paul,Roaring Brook Press,1892,4.29,"('5', '26', '2015')",2015
0,Whose Hands Are These? Miranda Paul,Whose Hands are These?: A Community Helper Guessing Book,Miranda  Paul,Millbrook Press,192,4.19,"('1', '1', '2016')",2016
0,I Am Farmer: Growing am Environmental Movement in Cameroon  Miranda Paul,I Am Farmer: Growing an Environmental Movement in Cameroon,Miranda  Paul,Millbrook Press (Lerner Publishing Group),163,4.23,"('2', '5', '2019')",2019
0,Adventures to School Miranda Paul,Adventures to School: Real-Life Journeys of Students from Around the World,Miranda  Paul,little bee books,137,4.29,"('5', '1', '2018')",2018
0,,"The Nanny Diaries (Nanny, #1)",Emma McLaughlin,St. Martins Press-3PL,356148,3.43,"('3', '18', '2003')",2003
1,,"The House of the Scorpion (Matteo Alacran, #1)",Nancy Farmer,Atheneum Books for Young Readers,74260,4.09,"('5', None, '2004')",2004
2,,Annie on My Mind,Nancy Garden,"Farrar, Straus and Giroux (BYR)",38604,3.99,"(None, None, '1992')",1992
3,,Loving Frank,Nancy Horan,,82958,3.76,"(None, None, None)",
4,,"These Is My Words: The Diary of Sarah Agnes Prine, 1881-1901",Nancy E. Turner,Harper Perennial,14684,4.34,"('4', '1', '2008')",2008
5,,The Living Mountain,Nan Shepherd,Canongate Books,2130,4.31,"('8', '18', '2011')",2011
6,,"The Secret of the Old Clock (Nancy Drew Mystery Stories, #1)",Carolyn Keene,Applewood Books,56667,3.99,"('9', '1', '1991')",1991
7,,The Ballad of Sexual Dependency,Nan Goldin,Aperture,4335,4.20,"('6', '15', '2005')",2005
8,,White Trash: The 400-Year Untold History of Class in America,Nancy Isenberg,Viking,15400,3.74,"('6', '21', '2016')",2016
9,,The Perfect Nanny,Leïla Slimani,Penguin Books,35787,3.39,"('1', '9', '2018')",2018
10,,The Rape of Nanking,Iris Chang,Penguin Books,24558,4.12,"('11', '1', '1998')",1998
11,,"The First Cut (Nan Vining Mysteries, #1)",Dianne Emley,Ballantine Books,452,3.72,"('8', '29', '2006')",2006
12,,"Nana, Vol. 1",Ai Yazawa,VIZ Media LLC,34142,4.21,"('12', '6', '2005')",2005
13,,Sunan Cinta Nan Sakti,Ramlee Awang Murshid,Alaf 21,316,4.42,"('11', None, '2015')",2015
14,,Fierce Winds and Fiery Dragons (Dusky Hollows #1),Nan Sweet,,41,4.10,"(None, None, None)",
15,,Rokok Nan Sebatang,Nami Cob Nobbler,Lejen Press,244,3.94,"('4', None, '2013')",2013
16,,The Hidden Staircase (Nancy Drew Mystery Stories #2),Carolyn Keene,Grosset & Dunlap,31406,3.95,"(None, None, '1996')",1996
17,,Flowers of Mold,Ha Seong-nan,,422,3.69,"(None, None, None)",
18,,Promises of the Heart,Nan Rossiter,Harper Paperbacks,151,4.16,"('2', '4', '2020')",2020
19,,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman,Harmony,14113,4.23,"('5', '16', '2000')",2000
0,Sunshine State Sarah Gerard,Sunshine State,Sarah Gerard,Harper Perennial,1252,3.42,"('4', '11', '2017')",2017
0,Ashley Sugarnotch & the Wolf Elizabeth Deanna Morris Lakes ,Ashley Sugarnotch & the Wolf,Elizabeth Deanna Morris Lakes,Mason Jar Press,34,4.94,"('4', '14', '2020')",2020
0,Universe in the Key of Matryoshka Ronnie K. Stephens,Universe in the Key of Matryoshka,Ronnie K. Stephens,Timber Mouse Publishing,9,4.44,"(None, None, '2014')",2014
0,They Rewrote Themselves Legendary Ronnie K. Stephens,They Rewrote Themselves Legendary,Ronnie K. Stephens,Timber Mouse,5,4.80,"('3', '28', '2017')",2017
0,A Recipe for Disaster Belinda Missen,A Recipe for Disaster: A deliciously feel-good romance,Belinda Missen,,137,3.91,"(None, None, None)",
0,O'Malley Katee Roberts,"The Marriage Contract (The O'Malleys, #1)",Katee Robert,Forever,4528,3.58,"('6', '2', '2015')",2015
1,O'Malley Katee Roberts,"The Wedding Pact (The O'Malleys, #2)",Katee Robert,Forever,1765,3.91,"('4', '26', '2016')",2016
